shipment_id,ship_date_key,delivery_date_key,product_id,facility_id,customer_id,quantity,carrier,status,shipping_cost,total_weight_kg,tracking_number,delay_reason
33,327,337,13,16,15,732,Maersk Line,Delivered,686.33,109.8,MAE9882098812,
34,303,330,18,10,1,556,CMA CGM,Delivered,2898.61,333.6,CMA7818870353,
35,638,654,34,14,3,363,XPO Logistics,Delivered,171.79,29.04,XPO4224262568,
36,450,472,25,16,2,51,DB Schenker,Delivered,7981.05,2229.72,DB 4308480918,
37,258,277,10,12,8,577,C.H. Robinson,Delivered,986.08,146.55,CH4072036411,
38,135,140,24,12,13,58,DHL Express,Delivered,3655.09,1140.28,DHL1545744812,
39,564,575,2,12,15,319,UPS Worldwide,Delivered,321.24,47.85,UPS8799160628,
40,185,193,25,15,13,76,UPS Worldwide,Delivered,3608.72,3322.72,UPS4733051855,
41,670,681,17,11,13,382,CMA CGM,Delivered,1248.43,194.82,CMA7761829572,
42,519,544,16,11,3,128,Maersk Line,Delivered,354.98,75.52,MAE1543211054,
43,490,500,21,11,10,98,XPO Logistics,Processing,8280.05,3838.66,XPO4212943453,
44,291,305,20,13,6,314,DHL Express,Processing,1012.31,141.3,DHL8082363614,
45,99,125,26,11,3,64,Kuehne+Nagel,Processing,5937.72,1606.4,KUE1236093664,
46,64,73,15,11,15,66,CMA CGM,Delivered,218.05,40.26,CMA5462968603,
47,690,703,26,10,12,96,XPO Logistics,Delivered,4918.48,2409.6,XPO4972398395,
48,135,157,36,15,4,1034,C.H. Robinson,Delivered,837.54,86.04,CH5899393745,
49,154,176,4,13,11,561,DHL Express,Delayed,339.42,95.37,DHL7865842617,Security Check
50,401,412,29,11,9,84,DB Schenker,Delivered,20899.91,11319,DB 1153768720,
51,542,548,24,16,11,107,CMA CGM,Delivered,3965.71,2103.62,CMA2503878530,
52,448,459,32,16,6,376,UPS Worldwide,Delivered,201.38,26.32,UPS2374970914,
53,416,430,6,13,4,731,Kuehne+Nagel,Delivered,2085.22,248.82,KUE3038251028,
54,28,38,5,16,14,602,XPO Logistics,In Transit,865.77,132.44,XPO2058489761,
55,138,156,21,14,3,99,Kuehne+Nagel,Delivered,9139.53,3877.83,KUE5447440807,
56,697,712,16,13,5,430,Kuehne+Nagel,Delivered,2029.34,253.7,KUE2028944639,
57,352,372,36,16,3,853,C.H. Robinson,In Transit,407.01,75.18,CH7135479742,
58,95,123,2,16,3,151,Kuehne+Nagel,In Transit,202.88,22.65,KUE2613808586,
59,542,559,13,15,5,789,Kuehne+Nagel,Delivered,2079.62,178.35,KUE4322472625,
60,307,328,23,10,3,80,FedEx International,Delivered,6256.07,2016.8,FED5126186609,
61,476,491,20,16,7,444,FedEx International,Delivered,741.95,199.8,FED1341611359,
62,320,340,5,12,6,216,UPS Worldwide,Delivered,352.72,47.52,UPS2952761913,
63,18,25,3,15,13,159,Maersk Line,In Transit,191.11,28.62,MAE7826352269,
64,617,633,23,13,8,69,C.H. Robinson,Delivered,3720.18,1739.49,CH9232223948,
65,659,671,7,10,10,437,UPS Worldwide,Delivered,782.63,200.88,UPS1026723849,
66,508,516,25,12,10,98,FedEx International,Delivered,12039.17,4284.56,FED6666524875,
67,160,169,9,16,12,743,CMA CGM,In Transit,782.78,141.17,CMA5600302555,
68,94,104,16,16,13,257,UPS Worldwide,Delivered,756.63,151.63,UPS1466199558,
69,217,228,13,15,7,102,DB Schenker,Delivered,114.84,15.3,DB 1976154836,
70,80,101,8,15,8,688,UPS Worldwide,Delivered,1514.6,174.08,UPS9822374704,
71,185,191,8,11,12,440,UPS Worldwide,Delivered,242.72,70.4,UPS4138978721,
72,520,539,31,14,7,33,Maersk Line,Delivered,8747.22,4313.43,MAE9944089974,
73,661,666,36,16,14,1433,DHL Express,Delivered,757.32,109.98,DHL3191123153,
74,576,582,27,15,17,86,FedEx International,Delivered,4446.16,5097.22,FED2811006055,
75,556,569,16,12,17,58,DB Schenker,Delivered,229.23,34.22,DB 5450448343,
76,418,438,36,13,2,515,CMA CGM,Delivered,177.01,30.9,CMA6933859061,
77,527,546,18,10,6,533,DHL Express,Delivered,1251.14,319.8,DHL6895453160,
78,149,161,10,15,9,155,FedEx International,Delivered,108.62,23.25,FED4499971156,
79,412,438,13,15,4,767,Kuehne+Nagel,Delivered,862.14,115.05,KUE5069130444,
80,280,295,4,16,8,635,XPO Logistics,Delivered,823.47,107.95,XPO7104787751,
81,581,595,13,15,6,533,Maersk Line,Delivered,726.07,139.95,MAE1302206974,
82,486,501,23,16,13,62,FedEx International,Delayed,4230.54,1563.02,FED3513882401,Mechanical Failure
83,538,558,23,13,4,16,C.H. Robinson,Delivered,1691.68,403.36,CH1755473517,
84,675,685,14,16,11,535,DHL Express,Delivered,886.47,158.95,DHL1745707280,
85,602,607,24,10,10,46,Maersk Line,Delivered,3998.12,904.36,MAE9522145859,
86,547,565,26,15,3,78,FedEx International,Delivered,3504.01,1957.8,FED7189860379,
87,536,546,9,13,7,568,DHL Express,In Transit,1450.64,183.92,DHL4377357344,
88,227,247,28,12,2,64,C.H. Robinson,Delivered,6875.17,3818.88,CH1923570483,
89,305,315,1,14,15,189,DB Schenker,Delivered,213.42,39.69,DB 4529430519,
90,212,224,13,16,10,545,FedEx International,Processing,539.9,81.75,FED9339205305,
91,713,722,15,10,17,568,DB Schenker,Delivered,1003.96,346.48,DB 4841209376,
92,695,706,4,10,11,746,DB Schenker,Delivered,690.26,194.82,DB 4950942326,
93,48,60,29,15,17,95,DB Schenker,Delivered,18846.14,12801.25,DB 2798728480,
94,33,42,24,16,10,27,DHL Express,Delayed,1946.34,530.82,DHL3018227977,Mechanical Failure
95,409,422,15,15,10,97,FedEx International,Processing,286.12,59.17,FED8373081324,
96,263,278,7,14,3,710,UPS Worldwide,Delivered,2498.43,266.4,UPS4799422267,
97,199,222,8,14,9,756,UPS Worldwide,Delayed,951.05,184.96,UPS2160051378,Carrier Capacity
98,611,632,17,13,8,430,C.H. Robinson,Delayed,1522.45,219.3,CH6497900728,Mechanical Failure
99,237,249,30,12,11,63,FedEx International,Delivered,7780.12,6953.31,FED4965888470,
100,127,135,35,10,15,301,UPS Worldwide,Delivered,71.11,15.05,UPS3936463347,
101,111,123,22,12,9,112,UPS Worldwide,Delivered,6346.49,4025.28,UPS7235355257,
102,680,702,2,12,4,592,DB Schenker,Delivered,784.47,88.8,DB 6990619341,
103,200,207,10,11,12,146,Kuehne+Nagel,Delivered,138.9,21.9,KUE2228362924,
104,16,41,19,11,3,53,C.H. Robinson,In Transit,254.6,34.45,CH1019604798,
105,696,708,26,15,14,94,Kuehne+Nagel,In Transit,4635.69,2359.4,KUE6099384986,
106,551,565,13,13,2,691,XPO Logistics,In Transit,1464.52,163.65,XPO3701145985,
107,17,23,32,15,17,630,Maersk Line,Delivered,249.97,44.1,MAE4251894892,
108,414,437,9,12,1,718,Maersk Line,Delivered,1481.03,212.42,MAE8330861384,
109,268,276,26,13,10,42,DB Schenker,Delivered,3744,1054.2,DB 8452110789,
110,24,33,24,12,13,69,XPO Logistics,Delivered,3929.58,1356.54,XPO6717622712,
111,491,514,19,11,1,79,UPS Worldwide,Delivered,426.47,51.35,UPS5188589260,
112,304,317,12,16,10,474,XPO Logistics,In Transit,285.13,94.8,XPO4946432805,
113,676,686,18,14,6,598,XPO Logistics,Delivered,2755.41,358.8,XPO8601950647,
114,325,337,32,11,17,1157,DB Schenker,Delivered,528.39,108.99,DB 1648629662,
115,497,508,9,10,11,793,DHL Express,Delivered,803.7,226.67,DHL5939793232,
116,508,530,3,11,6,252,Maersk Line,Delayed,183.56,45.36,MAE9634068319,Customs Clearance
117,704,731,27,12,5,78,Maersk Line,Delivered,6581.77,4623.06,MAE3519995322,
118,180,189,1,10,17,353,UPS Worldwide,Delivered,445.31,74.13,UPS1520368375,
119,41,60,25,16,4,10,XPO Logistics,Delivered,2886.61,437.2,XPO2200014952,
120,593,599,13,13,9,83,Kuehne+Nagel,Delivered,50.06,12.45,KUE4817075892,
121,522,542,9,11,6,668,FedEx International,Delivered,801.32,126.92,FED2600750666,
122,80,95,2,11,8,446,Maersk Line,Delayed,431.22,66.9,MAE5811989988,Port Congestion
123,192,198,32,11,11,224,UPS Worldwide,Delivered,97.77,15.68,UPS5659257963,
124,96,112,4,15,3,775,Maersk Line,In Transit,1175.65,131.75,MAE7917840731,
125,515,528,20,15,6,140,CMA CGM,In Transit,445.18,63,CMA4033806715,
126,640,654,30,14,3,67,Kuehne+Nagel,Delivered,18617.9,7394.79,KUE4226740317,
127,111,132,23,12,7,103,FedEx International,Delivered,4470.57,2596.63,FED8162607486,
128,113,122,1,12,17,360,DHL Express,Delivered,408.32,75.6,DHL3686900153,
129,645,661,2,14,7,441,C.H. Robinson,Delivered,429.92,66.15,CH2956836319,
130,383,395,9,10,11,455,DB Schenker,Delivered,779.11,162.45,DB 8567302458,
131,456,464,5,11,15,716,CMA CGM,Delayed,578.14,157.52,CMA2935055577,Port Congestion
132,329,346,13,11,6,713,C.H. Robinson,Delivered,630.64,106.95,CH7683601497,
133,562,569,33,13,14,1444,FedEx International,Delivered,799.51,110.64,FED3983379460,
134,557,577,23,12,2,44,DHL Express,Delivered,6127.19,1109.24,DHL8114967704,
135,328,338,4,10,11,564,UPS Worldwide,Delivered,928.62,163.88,UPS4248670417,
136,418,440,1,12,11,792,UPS Worldwide,Delayed,1041.17,250.32,UPS5447841253,Weather Disruption
137,680,687,28,12,15,91,FedEx International,Delivered,9004.75,5429.97,FED5703956856,
138,250,259,15,12,12,280,Maersk Line,Delivered,907.63,170.8,MAE3735247845,
139,428,434,30,14,17,88,Maersk Line,Delivered,8277.61,9712.56,MAE5048013212,
140,516,534,22,15,5,15,DB Schenker,Delivered,2902.33,539.1,DB 5218412620,
141,265,275,17,10,11,600,DB Schenker,Delivered,1950.27,306,DB 9929126136,
142,483,497,17,15,8,403,DHL Express,Delivered,1619.73,205.53,DHL3947605675,
143,608,614,24,12,11,56,CMA CGM,In Transit,3443.36,1100.96,CMA8960335838,
144,598,614,19,12,5,238,XPO Logistics,Delivered,1306.69,154.7,XPO9118228220,
145,304,318,10,13,14,529,DHL Express,Delivered,546.4,79.35,DHL2464929243,
146,582,590,20,13,13,341,FedEx International,Delivered,866.51,153.45,FED4943293018,
147,14,25,22,15,6,54,FedEx International,Delivered,5962.41,1940.76,FED9055186664,
148,391,410,11,11,4,251,Kuehne+Nagel,Delivered,436.92,42.67,KUE2675870586,
149,645,659,28,16,8,5,DHL Express,In Transit,1511.07,298.35,DHL6164738988,
150,595,607,3,10,12,491,CMA CGM,Delivered,931.15,160.38,CMA8545214455,
151,414,451,19,16,3,320,Kuehne+Nagel,Delayed,1553.31,208,KUE3166548470,Port Congestion
152,696,714,25,16,5,57,C.H. Robinson,Delivered,5110.94,2492.04,CH8811265881,
153,427,432,26,16,11,69,Kuehne+Nagel,Delivered,4387.78,1731.9,KUE6830700438,
154,521,532,26,10,15,24,FedEx International,Delivered,2418.49,602.4,FED7746517169,
155,614,627,15,14,6,337,Kuehne+Nagel,Delivered,975.33,205.57,KUE9197122046,
156,86,103,23,13,6,101,XPO Logistics,Delivered,4561.01,2546.21,XPO2244245933,
157,512,522,14,11,8,529,DHL Express,Delivered,1387.38,157.93,DHL9345574065,
158,490,515,25,16,2,57,Maersk Line,Delivered,5109.78,2492.04,MAE5175716893,
159,439,461,24,12,2,90,Kuehne+Nagel,Delivered,5180.47,1769.4,KUE8959058410,
160,386,397,1,14,12,605,Kuehne+Nagel,Delivered,1110.52,211.05,KUE8954079867,
161,208,224,11,12,5,780,Kuehne+Nagel,Delivered,1011.4,200.6,KUE3694544966,
162,90,101,30,11,14,54,DB Schenker,Delivered,8218.64,5959.98,DB 5534940717,
163,697,714,3,13,6,699,C.H. Robinson,Delayed,1051.31,197.82,CH6406691646,Mechanical Failure
164,716,722,28,13,12,93,C.H. Robinson,In Transit,6614.94,5549.31,CH1671825824,
165,405,430,8,15,5,480,CMA CGM,Delivered,529.5,76.8,CMA8417417986,
166,179,188,18,15,9,139,C.H. Robinson,Delivered,477.5,83.4,CH2815422821,
167,309,330,34,15,3,202,DB Schenker,In Transit,110.68,16.16,DB 3413477605,
168,209,233,34,15,1,755,DHL Express,Delivered,512.72,92.4,DHL3075764056,
169,349,364,13,16,8,162,XPO Logistics,Processing,101.19,24.3,XPO2655596037,
170,407,422,26,15,6,49,XPO Logistics,In Transit,4039.06,1229.9,XPO1272804667,
171,199,207,1,14,15,414,XPO Logistics,Delivered,926.84,170.94,XPO2110517587,
172,304,310,18,10,13,126,Kuehne+Nagel,Delivered,252.34,75.6,KUE6158087464,
173,291,311,34,12,7,924,Kuehne+Nagel,Delivered,824.32,105.92,KUE5008880992,
174,298,317,33,16,1,804,XPO Logistics,Delivered,684.91,72.24,XPO7377152839,
175,543,571,17,16,2,223,CMA CGM,Delayed,546.5,113.73,CMA4256744288,Security Check
176,470,483,15,12,10,319,CMA CGM,Delivered,1396.9,194.59,CMA3652627504,
177,351,370,29,16,7,88,DHL Express,Delivered,28470.81,11858,DHL2700002857,
178,284,293,23,16,15,91,XPO Logistics,Delivered,2566.48,2294.11,XPO2823644618,
179,445,451,14,10,12,306,UPS Worldwide,Delivered,265.39,52.02,UPS2870211729,
180,92,108,30,11,7,30,XPO Logistics,Delivered,4646.69,3311.1,XPO8019562963,
181,459,473,3,15,2,314,DB Schenker,In Transit,503.01,56.52,DB 1877264971,
182,439,451,10,14,6,491,DB Schenker,Delivered,296.24,73.65,DB 4499835237,
183,246,274,24,13,3,109,UPS Worldwide,Delivered,9458.87,2142.94,UPS3649772091,
184,71,78,15,15,14,52,Kuehne+Nagel,Delivered,159.52,31.72,KUE7490338869,
185,35,45,10,12,12,502,CMA CGM,In Transit,798.26,135.3,CMA4619564972,
186,482,508,26,15,2,71,DHL Express,Delivered,6742.16,1782.1,DHL9764661491,
187,588,598,28,13,10,38,Maersk Line,In Transit,4151.28,2267.46,MAE6265101525,
188,373,384,32,10,14,1185,FedEx International,Delivered,420.05,110.95,FED5113932946,
189,18,30,6,16,8,415,Maersk Line,Delivered,390.94,91.3,MAE7008991490,
190,164,177,28,14,10,61,Maersk Line,Delivered,6378.88,3639.87,MAE1181429472,
191,351,358,2,11,9,342,DHL Express,Delivered,265.4,51.3,DHL4203298804,
192,282,293,9,12,11,284,FedEx International,In Transit,278.73,53.96,FED1687187319,
193,67,82,20,16,8,436,C.H. Robinson,Delivered,1113.06,196.2,CH9486083839,
194,396,403,25,13,14,104,Kuehne+Nagel,Delivered,9329.87,4546.88,KUE9703026916,
195,500,526,14,13,1,571,XPO Logistics,Delivered,798.29,97.07,XPO2154285758,
196,520,532,22,10,17,76,UPS Worldwide,Delivered,5394.79,2731.44,UPS6791255616,
197,168,180,36,11,12,1047,XPO Logistics,Delivered,429.64,86.82,XPO9791753396,
198,273,299,15,16,2,406,CMA CGM,In Transit,1957.16,247.66,CMA3194933034,
199,7,19,8,14,14,181,XPO Logistics,Delivered,138.35,28.96,XPO3463123230,
200,676,687,36,16,12,1319,Kuehne+Nagel,Delivered,703.04,103.14,KUE8319530802,
201,186,202,31,10,17,35,Kuehne+Nagel,Delayed,9259.6,4574.85,KUE8435347297,Documentation Issue
202,223,234,27,11,9,61,FedEx International,In Transit,3857.94,3615.47,FED9416050801,
203,668,678,36,10,12,1040,CMA CGM,Delivered,534.9,86.4,CMA5756897700,
204,560,567,1,14,15,610,DB Schenker,Delivered,449.9,128.1,DB 1869482577,
205,730,731,3,12,17,664,Kuehne+Nagel,Processing,910.31,191.52,KUE2631748734,
206,563,587,18,16,3,443,DB Schenker,Delayed,1429.85,265.8,DB 1508419584,Documentation Issue
207,335,349,26,13,7,26,Kuehne+Nagel,Delivered,3202.53,652.6,KUE1136913573,
208,349,361,32,14,14,440,Maersk Line,Delivered,297.39,58.8,MAE6211691894,
209,29,48,15,11,4,163,UPS Worldwide,Delivered,707.48,99.43,UPS9073973350,
210,495,501,33,16,10,1591,CMA CGM,In Transit,588.77,119.46,CMA5976481838,
211,430,451,10,16,2,726,UPS Worldwide,Delivered,885.52,168.9,UPS2798664317,
212,169,177,13,11,17,121,CMA CGM,Delivered,67.16,18.15,CMA5124341339,
213,132,141,18,11,16,373,XPO Logistics,Delayed,832.24,223.8,XPO9546488472,Mechanical Failure
214,67,95,33,12,3,393,CMA CGM,In Transit,240.6,23.58,CMA4583634258,
215,394,408,13,10,11,486,XPO Logistics,Delivered,397.17,72.9,XPO8520467724,
216,114,138,6,14,3,417,XPO Logistics,Delivered,862.73,91.74,XPO8233881509,
217,38,62,9,13,2,730,Maersk Line,Delivered,1796.96,214.7,MAE7290233082,
218,650,663,14,12,10,204,XPO Logistics,Delivered,160.73,34.68,XPO8564882008,
219,644,661,17,14,6,565,C.H. Robinson,Delivered,1894.13,288.15,CH2356489332,
220,534,542,27,13,17,14,CMA CGM,Delivered,3439.86,829.78,CMA8183104686,
221,90,102,13,15,7,680,Maersk Line,Delivered,1339.68,162,MAE4605236346,
222,533,547,7,14,10,715,CMA CGM,Delivered,1234.95,171.6,CMA1626368348,
223,534,548,19,11,15,289,DB Schenker,In Transit,753.71,187.85,DB 5694705709,
224,488,505,33,13,9,1193,CMA CGM,Delayed,297.7,95.58,CMA2344885056,Mechanical Failure
225,692,706,33,13,1,222,FedEx International,Delivered,103.29,13.32,FED8528383723,
226,156,172,5,15,5,390,DB Schenker,Delivered,495.66,85.8,DB 5458417812,
227,429,434,23,12,12,63,Kuehne+Nagel,Delivered,6377.87,1588.23,KUE5501054274,
228,49,75,5,16,2,447,DB Schenker,Delivered,1780.78,186.34,DB 4120092279,
229,351,357,29,14,9,93,Maersk Line,Delivered,11607.14,12531.75,MAE4309095991,
230,693,699,36,12,13,1015,FedEx International,In Transit,487.54,84.9,FED9937309094,
231,574,587,32,16,11,1381,XPO Logistics,Delayed,707.95,124.67,XPO1597025938,Weather Disruption
232,617,629,14,13,17,627,DHL Express,Delivered,348.19,106.59,DHL5634419660,
233,412,430,12,16,4,99,DHL Express,Delivered,205.35,19.8,DHL2251537823,
234,445,453,22,13,17,53,DHL Express,Delivered,4650.96,1904.82,DHL9304502200,
235,65,82,20,13,7,134,DHL Express,Delivered,362.39,60.3,DHL6128603222,
236,665,675,28,11,8,19,CMA CGM,Delivered,5123.88,1133.73,CMA9667259769,
237,380,396,27,15,6,84,UPS Worldwide,Delivered,9377.33,4978.68,UPS2665258988,
238,54,67,7,11,10,369,FedEx International,Delivered,535.78,88.56,FED1133715574,
239,722,731,33,13,5,778,FedEx International,Delivered,313.39,70.68,FED2416486404,
240,374,385,5,11,12,713,UPS Worldwide,In Transit,1112.18,244.86,UPS8446181226,
241,458,468,34,14,17,1595,UPS Worldwide,Delivered,1006.61,159.6,UPS1930137217,
242,582,599,8,16,16,384,Maersk Line,Delayed,312.13,61.44,MAE7259612265,Carrier Capacity
243,314,329,6,16,7,765,C.H. Robinson,Delivered,1893.12,256.3,CH2208863271,
244,344,353,20,13,11,410,Maersk Line,Delivered,1395.6,184.5,MAE3047892237,
245,162,187,20,14,4,334,FedEx International,Delivered,1004.58,150.3,FED7721473947,
246,508,518,23,15,7,98,Kuehne+Nagel,Delivered,4503.04,2470.58,KUE9535934569,
247,351,359,32,14,10,436,C.H. Robinson,Delivered,146.49,30.52,CH2482987463,
248,462,472,10,12,10,641,C.H. Robinson,Delayed,447.74,96.15,CH5018807099,Carrier Capacity
249,298,309,16,13,6,97,DHL Express,Delivered,457.26,57.23,DHL7489469991,
250,242,264,20,15,2,187,C.H. Robinson,Delivered,808.29,84.15,CH7911671805,
251,23,35,28,15,9,9,FedEx International,Delivered,1409.19,537.03,FED8873999355,
252,571,583,9,13,8,684,Kuehne+Nagel,In Transit,904.91,205.96,KUE3776413137,
253,115,127,35,10,10,1116,CMA CGM,Processing,465.23,75.8,CMA2407009663,
254,706,720,21,16,4,52,CMA CGM,In Transit,4219.91,2036.84,CMA9307532236,
255,430,454,11,13,1,468,FedEx International,Delivered,896.15,147.56,FED5720421256,
256,108,120,24,11,15,29,XPO Logistics,Delivered,2375.43,570.14,XPO9616055355,
257,630,638,36,14,10,719,C.H. Robinson,Delivered,241.84,67.14,CH5799560371,
258,298,323,21,15,3,63,CMA CGM,Delivered,5211.8,2467.71,CMA3270838001,
259,533,538,35,11,13,1479,C.H. Robinson,Delivered,465.27,93.95,CH7649443929,
260,565,579,9,16,16,402,C.H. Robinson,Delivered,867.74,152.38,CH1830555701,
261,704,710,29,12,12,65,XPO Logistics,Delivered,14993.94,8758.75,XPO2083049885,
262,202,218,1,10,7,409,UPS Worldwide,Delivered,398.54,85.89,UPS7133984380,
263,177,186,33,11,14,1347,FedEx International,In Transit,643.66,104.82,FED1124413253,
264,516,521,12,14,13,492,XPO Logistics,In Transit,353.76,98.4,XPO3401622178,
265,237,264,5,12,4,410,UPS Worldwide,Delayed,775.15,90.2,UPS3774453070,Weather Disruption
266,354,372,30,14,7,59,Maersk Line,Delivered,8128.41,6511.83,MAE1945693595,
267,336,351,9,13,2,163,FedEx International,In Transit,218.41,30.97,FED4873387376,
268,17,22,31,11,17,72,XPO Logistics,In Transit,12612.37,9411.12,XPO1608904113,
269,90,101,9,12,7,530,DB Schenker,Delivered,629.45,176.7,DB 6466436287,
270,183,197,4,15,12,184,DHL Express,In Transit,111.04,31.28,DHL8403457725,
271,120,135,21,14,1,75,DB Schenker,In Transit,5846.56,2937.75,DB 9064417433,
272,24,35,20,10,6,215,DB Schenker,Delivered,377.99,96.75,DB 7458180424,
273,340,353,4,14,6,489,C.H. Robinson,Delivered,961.16,151.13,CH5330521413,
274,632,643,7,12,8,689,FedEx International,In Transit,984.4,261.36,FED2301338439,
275,262,272,25,15,17,111,FedEx International,Delivered,7038.03,4852.92,FED7726009837,
276,569,575,15,16,10,295,DB Schenker,In Transit,1096.58,179.95,DB 4761925336,
277,428,436,12,12,16,194,DB Schenker,Delivered,247.27,38.8,DB 6617246080,
278,346,365,1,16,3,671,XPO Logistics,Delivered,1846.18,224.91,XPO8072452223,
279,277,290,3,15,12,760,DB Schenker,Delivered,723.03,208.8,DB 6799203838,
280,487,508,6,13,1,586,C.H. Robinson,Delivered,1713.7,216.92,CH4905814753,
281,473,480,5,10,13,291,DHL Express,Delivered,333.4,64.02,DHL5385009866,
282,212,218,23,11,13,77,UPS Worldwide,Delivered,5869.98,1941.17,UPS1090870317,
283,479,493,36,13,4,1560,Kuehne+Nagel,In Transit,608.51,117.6,KUE6348836628,
284,478,500,21,12,2,105,C.H. Robinson,Delivered,9679.36,4112.85,CH2312834599,
285,605,612,17,12,14,222,Kuehne+Nagel,Delivered,486.11,113.22,KUE9133917071,
286,99,113,34,10,8,844,Maersk Line,Delivered,840.32,99.52,MAE8064573591,
287,82,99,21,12,6,83,UPS Worldwide,Delivered,8083.34,3251.11,UPS1382307210,
288,379,384,35,14,14,390,Kuehne+Nagel,Delivered,59.62,19.5,KUE2910748747,
289,554,568,31,15,15,90,XPO Logistics,In Transit,17389.23,11763.9,XPO9840903987,
290,59,73,29,13,5,45,XPO Logistics,Delivered,19871.2,6063.75,XPO3754049892,
291,425,436,12,15,11,133,CMA CGM,Delivered,127.84,26.6,CMA4717140403,
292,427,452,34,14,1,1396,UPS Worldwide,Delivered,902.29,143.68,UPS7859382984,
293,203,208,30,15,9,8,C.H. Robinson,In Transit,2006.25,882.96,CH1115192932,
294,275,292,8,13,4,695,C.H. Robinson,Delivered,1799.27,175.2,CH1983910621,
295,582,602,1,12,8,478,DHL Express,Delivered,609.95,100.38,DHL7131185091,
296,459,466,2,12,17,443,DB Schenker,Delivered,457.74,126.45,DB 3098070004,
297,353,372,25,12,2,37,C.H. Robinson,Delivered,5882.79,1617.64,CH1133215831,
298,496,507,17,14,17,276,XPO Logistics,Delivered,788.98,140.76,XPO1351687395,
299,36,64,10,15,4,732,UPS Worldwide,Delivered,934.44,109.8,UPS8776591457,
300,321,331,30,10,17,60,C.H. Robinson,Delivered,3551.76,6622.2,CH3002494718,
301,434,441,22,16,17,67,CMA CGM,In Transit,4735.12,2407.98,CMA2488826422,
302,113,128,1,15,3,690,XPO Logistics,Delivered,2274.41,228.9,XPO2969467684,
303,634,654,4,14,7,519,Kuehne+Nagel,Delayed,927.6,156.23,KUE9958323746,Mechanical Failure
304,523,529,16,16,15,436,DHL Express,Delivered,1404.77,257.24,DHL6821240252,
305,706,714,4,13,12,787,CMA CGM,Delivered,1181.66,201.79,CMA3300410603,
306,430,443,18,10,7,326,CMA CGM,Delivered,894.81,195.6,CMA1364658477,
307,524,544,30,13,4,67,DB Schenker,Delivered,16808.45,7394.79,DB 9884267716,
308,435,456,34,11,6,274,DHL Express,Delivered,107.47,21.92,DHL6982112058,
309,297,317,15,13,1,158,FedEx International,Delivered,920.3,96.38,FED1585816691,
