production_id,date_key,product_id,facility_id,quantity_produced,defective_units,defect_rate_pct,batch_number
134,106,8,3,300,0,0.2,PROD-2023049420
135,73,6,1,800,1,0.16,PROD-2023031077
136,314,16,3,3357,37,1.12,PROD-2023114579
137,298,5,3,800,3,0.45,PROD-2023102379
138,145,4,3,800,2,0.27,PROD-2023052236
139,117,12,3,350,2,0.61,PROD-2023047720
140,457,3,1,956,1,0.17,PROD-2024046531
141,535,5,1,800,7,0.94,PROD-2024065580
142,13,2,3,1512,3,0.21,PROD-2023015624
143,639,4,2,1201,12,1.07,PROD-2024098225
144,581,8,1,1147,8,0.77,PROD-2024081097
145,681,12,1,350,1,0.45,PROD-2024115320
146,148,11,1,135,0,0.58,PROD-2023057189
147,288,9,3,300,2,0.87,PROD-2023107692
148,136,5,1,800,1,0.21,PROD-2023059621
149,159,11,2,276,0,0.27,PROD-2023068009
150,93,1,1,800,5,0.68,PROD-2023044208
151,696,16,2,1177,12,1.1,PROD-2024116245
152,213,10,2,350,1,0.46,PROD-2023081617
153,504,16,1,2912,32,1.12,PROD-2024053870
154,550,11,2,350,1,0.5,PROD-2024075386
155,228,6,1,800,2,0.29,PROD-2023089750
156,363,14,1,250,0,0.24,PROD-2023128071
157,295,5,1,800,5,0.69,PROD-2023102943
158,424,4,2,1035,10,0.97,PROD-2024028106
159,138,4,2,1421,6,0.44,PROD-2023058845
160,65,5,1,1526,5,0.33,PROD-2023031961
161,601,2,1,800,8,1.08,PROD-2024082654
162,565,5,2,800,8,1.05,PROD-2024076585
163,712,16,3,2193,5,0.25,PROD-2024127023
164,251,15,3,600,1,0.28,PROD-2023091871
165,565,4,1,800,1,0.2,PROD-2024074134
166,408,5,3,971,10,1.08,PROD-2024027507
167,8,16,3,1891,14,0.77,PROD-2023012595
168,506,6,2,800,5,0.71,PROD-2024053303
169,666,5,3,800,4,0.6,PROD-2024102336
170,186,13,2,250,1,0.55,PROD-2023071803
171,669,11,1,350,1,0.57,PROD-2024103950
172,328,15,2,4318,34,0.81,PROD-2023115499
173,543,16,2,3832,33,0.87,PROD-2024068534
174,172,9,1,527,5,1.05,PROD-2023064256
175,86,16,3,1097,7,0.67,PROD-2023038268
176,279,11,3,60,0,1.17,PROD-2023101206
177,522,16,3,2072,19,0.93,PROD-2024065186
178,43,5,2,800,1,0.15,PROD-2023021501
179,528,10,1,350,1,0.32,PROD-2024062546
180,409,10,1,134,0,0.23,PROD-2024025883
181,36,8,3,300,2,0.81,PROD-2023022513
182,120,13,3,209,0,0.4,PROD-2023045489
183,167,9,2,346,2,0.75,PROD-2023069724
184,314,9,3,1327,3,0.3,PROD-2023116368
185,588,6,3,917,4,0.47,PROD-2024081257
186,473,8,1,1250,9,0.77,PROD-2024047877
187,678,16,3,2528,19,0.79,PROD-2024115042
188,464,9,2,602,1,0.21,PROD-2024042703
189,609,12,3,292,2,0.85,PROD-2024084245
190,658,13,3,101,0,0.18,PROD-2024107372
191,208,5,2,800,1,0.15,PROD-2023072741
192,334,7,2,1222,6,0.57,PROD-2023115384
193,475,4,2,1256,10,0.87,PROD-2024043219
194,337,14,3,40,0,1.13,PROD-2023129555
195,202,7,2,300,1,0.47,PROD-2023079573
196,510,2,1,938,6,0.71,PROD-2024057442
197,1,4,3,800,7,0.97,PROD-2023015168
198,369,16,2,600,3,0.54,PROD-2024013329
199,141,11,2,350,2,0.63,PROD-2023052358
200,550,3,1,1236,7,0.58,PROD-2024074211
201,122,8,3,2181,6,0.31,PROD-2023052218
202,586,11,2,60,0,0.84,PROD-2024085464
203,661,1,3,1576,7,0.46,PROD-2024102794
204,136,15,2,600,1,0.32,PROD-2023054173
205,419,5,1,920,1,0.18,PROD-2024028190
206,251,8,1,2500,14,0.56,PROD-2023099634
207,20,4,2,800,4,0.61,PROD-2023012636
208,465,9,3,300,1,0.53,PROD-2024044530
209,251,5,2,1651,6,0.41,PROD-2023091835
210,527,4,2,800,7,0.97,PROD-2024066999
211,83,9,3,521,5,1.02,PROD-2023033603
212,707,2,2,1327,15,1.16,PROD-2024127293
213,62,1,3,800,6,0.86,PROD-2023036169
214,721,9,2,824,5,0.63,PROD-2024126491
215,718,16,2,1460,16,1.14,PROD-2024122362
216,184,8,1,300,3,1.13,PROD-2023071294
217,613,13,1,77,0,0.84,PROD-2024096531
218,170,1,3,1031,7,0.75,PROD-2023067016
219,352,9,3,589,4,0.81,PROD-2023124043
220,440,9,2,324,2,0.91,PROD-2024036555
221,707,3,1,1241,7,0.59,PROD-2024126725
222,606,13,1,188,2,1.11,PROD-2024084893
223,563,9,1,300,3,1.02,PROD-2024079409
224,308,1,3,2022,4,0.2,PROD-2023119449
225,703,10,2,350,2,0.6,PROD-2024129462
226,280,14,3,250,2,0.94,PROD-2023105143
227,204,8,1,300,0,0.3,PROD-2023079126
228,286,16,3,2905,8,0.29,PROD-2023103029
229,382,10,3,350,0,0.22,PROD-2024014939
230,402,10,1,111,0,0.72,PROD-2024024558
231,565,15,1,700,3,0.44,PROD-2024071777
232,335,14,1,250,2,1.0,PROD-2023127887
233,207,13,2,250,2,1.03,PROD-2023071260
234,453,8,1,1690,3,0.19,PROD-2024036556
235,38,16,2,939,1,0.15,PROD-2023026766
236,293,12,2,317,0,0.19,PROD-2023101760
237,655,9,3,335,0,0.21,PROD-2024108552
238,283,11,3,350,0,0.16,PROD-2023107404
239,443,16,1,3364,35,1.05,PROD-2024032825
240,304,5,3,2010,19,0.96,PROD-2023107880
241,343,4,2,800,5,0.72,PROD-2023127232
242,627,4,1,800,8,1.1,PROD-2024097793
243,41,5,1,1477,5,0.35,PROD-2023028292
244,136,8,3,975,10,1.08,PROD-2023058461
245,15,16,3,600,2,0.34,PROD-2023017734
246,36,12,3,350,2,0.75,PROD-2023025901
247,468,3,3,2995,26,0.87,PROD-2024042626
248,124,16,2,1960,17,0.89,PROD-2023058571
249,249,16,3,895,2,0.24,PROD-2023095338
250,300,4,1,1504,6,0.42,PROD-2023103684
251,476,13,2,40,0,0.65,PROD-2024046924
252,79,4,1,1992,19,0.99,PROD-2023038741
253,325,2,2,1328,2,0.19,PROD-2023118044
254,353,12,1,161,1,1.03,PROD-2023129753
255,13,6,1,1052,12,1.15,PROD-2023019792
256,350,9,3,982,10,1.11,PROD-2023128240
257,536,8,3,1048,9,0.9,PROD-2024061409
258,595,8,1,469,3,0.75,PROD-2024084291
259,29,4,3,1478,9,0.61,PROD-2023015560
260,652,4,3,800,8,1.07,PROD-2024101359
261,116,11,1,120,1,1.03,PROD-2023049813
262,106,15,2,600,7,1.18,PROD-2023043858
263,350,3,3,1764,19,1.13,PROD-2023126089
264,400,9,1,300,1,0.34,PROD-2024028778
265,184,10,3,277,2,0.91,PROD-2023076860
266,533,7,2,529,1,0.34,PROD-2024067726
267,636,11,3,178,1,1.11,PROD-2024094810
268,161,1,1,1577,11,0.75,PROD-2023064963
269,525,14,2,58,0,0.46,PROD-2024067500
270,89,16,3,1750,17,0.99,PROD-2023035079
271,395,1,1,800,9,1.18,PROD-2024011688
272,551,13,3,196,2,1.16,PROD-2024077341
273,228,6,3,800,5,0.66,PROD-2023084083
274,344,14,1,250,1,0.65,PROD-2023121048
275,387,1,3,915,8,0.88,PROD-2024019207
276,731,16,2,1642,9,0.59,PROD-2024128624
277,70,6,1,976,5,0.54,PROD-2023032518
278,476,13,1,40,0,1.03,PROD-2024047618
279,461,13,3,250,1,0.48,PROD-2024047518
280,163,1,1,800,9,1.18,PROD-2023061551
281,33,5,1,1444,7,0.51,PROD-2023026626
282,106,15,2,600,5,0.99,PROD-2023045207
283,207,13,2,218,1,0.51,PROD-2023077262
284,594,1,3,800,9,1.14,PROD-2024087133
285,541,3,3,800,2,0.31,PROD-2024067110
286,499,3,2,800,8,1.08,PROD-2024054070
287,637,10,1,104,0,0.62,PROD-2024099858
288,610,7,3,414,4,1.12,PROD-2024094475
289,546,13,3,155,0,0.49,PROD-2024068528
290,151,4,1,800,3,0.39,PROD-2023058833
291,336,15,3,2024,18,0.93,PROD-2023128477
292,634,6,1,800,8,1.03,PROD-2024093501
293,563,13,3,110,1,1.18,PROD-2024074166
294,229,11,1,60,0,0.64,PROD-2023088890
295,379,8,2,300,1,0.65,PROD-2024015439
296,191,16,2,2228,16,0.72,PROD-2023074350
297,432,9,1,494,5,1.17,PROD-2024035809
298,650,9,3,300,1,0.59,PROD-2024109327
299,395,15,3,600,6,1.08,PROD-2024018230
300,692,12,2,350,2,0.82,PROD-2024115682
301,719,13,2,168,1,0.71,PROD-2024128192
302,338,4,3,2474,24,1.01,PROD-2023127007
303,6,9,1,865,6,0.76,PROD-2023015538
304,104,12,1,187,0,0.4,PROD-2023047322
305,51,5,3,1369,14,1.04,PROD-2023026950
306,75,15,1,1646,4,0.3,PROD-2023039542
307,301,1,2,3729,13,0.37,PROD-2023102767
308,137,13,1,132,0,0.65,PROD-2023057443
309,401,15,1,924,7,0.81,PROD-2024025484
310,548,1,2,800,5,0.65,PROD-2024078949
311,21,5,2,800,9,1.14,PROD-2023014224
312,321,1,3,800,7,0.91,PROD-2023111298
313,336,10,1,60,0,0.71,PROD-2023123933
314,56,4,2,1328,9,0.75,PROD-2023027851
315,427,3,1,800,6,0.85,PROD-2024039282
316,319,2,3,3009,18,0.61,PROD-2023115632
317,558,16,3,600,6,1.15,PROD-2024076415
318,515,3,3,800,6,0.85,PROD-2024056315
319,721,15,2,2057,9,0.46,PROD-2024123874
320,650,9,1,346,2,0.58,PROD-2024105290
321,694,12,2,350,2,0.71,PROD-2024117630
322,103,6,2,1757,8,0.51,PROD-2023042407
323,458,6,1,800,8,1.09,PROD-2024044824
324,66,13,3,179,1,0.81,PROD-2023039221
325,79,12,3,350,2,0.8,PROD-2023039710
326,270,12,3,279,1,0.6,PROD-2023099339
327,152,5,2,800,2,0.26,PROD-2023065152
328,406,5,2,800,8,1.0,PROD-2024022679
329,285,14,2,135,1,0.95,PROD-2023106733
330,9,4,3,800,4,0.59,PROD-2023011606
331,643,2,1,1953,19,1.01,PROD-2024106484
332,335,10,2,60,0,0.32,PROD-2023127351
333,455,11,2,86,0,0.29,PROD-2024037321
334,35,13,2,250,2,0.87,PROD-2023026919
335,283,14,3,250,1,0.62,PROD-2023104205
336,136,13,2,94,0,0.72,PROD-2023053286
337,535,14,1,250,0,0.34,PROD-2024068587
338,15,16,3,600,2,0.38,PROD-2023012322
339,130,2,3,800,2,0.3,PROD-2023055555
340,612,1,3,1227,2,0.18,PROD-2024099742
341,123,12,2,279,2,0.87,PROD-2023056453
342,237,6,2,959,6,0.66,PROD-2023085753
343,187,5,3,800,2,0.31,PROD-2023073956
344,627,12,1,60,0,0.22,PROD-2024093087
345,528,12,3,350,0,0.22,PROD-2024064949
346,319,10,2,350,3,1.0,PROD-2023115303
347,78,10,3,178,0,0.53,PROD-2023039404
348,13,8,3,300,1,0.44,PROD-2023019453
349,102,15,2,874,6,0.76,PROD-2023048424
350,22,11,2,329,3,0.94,PROD-2023017995
351,538,13,1,250,2,1.1,PROD-2024064105
352,530,9,2,300,0,0.3,PROD-2024065896
353,333,4,2,1773,12,0.7,PROD-2023116696
354,27,5,3,800,6,0.8,PROD-2023011476
355,618,1,3,800,4,0.57,PROD-2024091460
356,172,9,3,378,2,0.7,PROD-2023061895
357,391,16,2,951,9,1.04,PROD-2024015767
358,486,2,2,800,4,0.5,PROD-2024049714
359,407,16,3,2410,16,0.67,PROD-2024025384
360,347,8,2,622,3,0.56,PROD-2023124973
361,261,12,1,60,0,0.71,PROD-2023095589
362,247,4,1,800,1,0.2,PROD-2023093830
363,315,14,2,40,0,0.41,PROD-2023111725
364,160,13,3,76,0,0.87,PROD-2023063346
365,442,2,1,800,9,1.16,PROD-2024032212
366,572,12,2,350,4,1.19,PROD-2024079319
367,552,5,2,800,4,0.55,PROD-2024075569
368,249,5,1,800,8,1.03,PROD-2023097352
369,600,11,3,199,2,1.2,PROD-2024089004
370,157,2,1,800,5,0.71,PROD-2023068405
371,443,15,2,752,1,0.23,PROD-2024031883
372,178,11,1,60,0,0.32,PROD-2023068060
373,523,12,1,169,0,0.45,PROD-2024068606
374,729,14,3,97,0,0.4,PROD-2024127982
375,603,4,2,2241,23,1.07,PROD-2024086072
376,657,16,2,1289,10,0.82,PROD-2024102271
377,36,2,1,800,9,1.19,PROD-2023023299
378,594,16,1,1423,10,0.72,PROD-2024086799
379,256,3,2,1330,11,0.9,PROD-2023098882
380,538,8,1,300,1,0.52,PROD-2024066617
381,505,10,3,60,0,0.8,PROD-2024055548
382,91,11,2,350,2,0.79,PROD-2023049937
383,535,12,1,60,0,0.37,PROD-2024063231
384,167,14,3,250,0,0.23,PROD-2023066828
385,109,5,2,1147,7,0.68,PROD-2023049514
386,688,3,1,2052,6,0.33,PROD-2024114375
387,397,4,1,3525,9,0.28,PROD-2024022819
388,716,15,1,2223,21,0.96,PROD-2024128657
389,497,1,1,800,4,0.62,PROD-2024051958
390,559,5,2,800,6,0.8,PROD-2024074054
391,529,4,2,800,7,0.9,PROD-2024066628
392,666,9,2,300,3,1.15,PROD-2024106339
393,271,6,3,1207,7,0.61,PROD-2023092689
394,143,11,1,350,1,0.54,PROD-2023057802
395,151,9,3,2065,7,0.37,PROD-2023051679
396,305,14,1,40,0,0.56,PROD-2023115844
397,614,12,2,196,1,0.99,PROD-2024094781
398,43,2,3,2263,26,1.16,PROD-2023029656
399,15,10,2,274,1,0.37,PROD-2023012630
400,67,5,1,2890,4,0.17,PROD-2023036672
401,59,3,3,800,5,0.68,PROD-2023028802
402,542,11,1,350,3,0.87,PROD-2024068758
403,242,3,2,800,2,0.35,PROD-2023082162
404,594,6,3,800,3,0.47,PROD-2024082809
405,491,8,3,300,1,0.4,PROD-2024058190
406,553,8,1,1856,12,0.69,PROD-2024079967
407,557,15,1,2219,13,0.61,PROD-2024077785
408,672,5,3,1175,10,0.9,PROD-2024116039
409,174,1,3,2997,5,0.19,PROD-2023066126
410,44,7,3,939,1,0.15,PROD-2023022916
411,591,5,3,800,6,0.85,PROD-2024085376
412,19,7,1,300,3,1.19,PROD-2023014926
413,684,12,2,179,0,0.35,PROD-2024116460
414,686,16,1,1091,11,1.08,PROD-2024112978
415,147,9,3,1014,8,0.87,PROD-2023051067
416,513,7,1,418,1,0.3,PROD-2024053094
417,138,16,1,600,1,0.29,PROD-2023053733
418,591,5,1,800,3,0.4,PROD-2024086887
419,560,8,2,870,1,0.2,PROD-2024079656
420,269,11,1,350,1,0.55,PROD-2023098323
421,604,10,1,280,0,0.17,PROD-2024082509
422,201,7,2,300,2,0.71,PROD-2023075318
423,480,8,2,1458,15,1.09,PROD-2024042632
424,124,14,1,250,0,0.35,PROD-2023051720
425,250,2,2,1737,3,0.21,PROD-2023097600
426,358,13,3,207,1,0.91,PROD-2023126981
427,121,13,2,189,1,0.97,PROD-2023053995
428,191,15,2,1999,7,0.36,PROD-2023077958
429,442,15,1,2059,24,1.19,PROD-2024031871
430,270,8,1,1410,15,1.09,PROD-2023096574
431,562,2,1,938,10,1.17,PROD-2024074264
432,333,4,1,1612,15,0.97,PROD-2023111996
433,519,1,3,800,4,0.52,PROD-2024065511
434,74,14,1,178,2,1.14,PROD-2023035213
435,471,10,3,96,0,0.6,PROD-2024045911
436,23,9,2,391,2,0.55,PROD-2023017497
437,126,11,3,151,1,0.92,PROD-2023055167
438,42,4,2,800,9,1.13,PROD-2023025555
439,154,1,1,1477,6,0.47,PROD-2023061284
440,110,9,1,456,4,1.03,PROD-2023042797
441,582,10,1,350,4,1.16,PROD-2024085310
442,80,16,1,632,2,0.43,PROD-2023032599
443,479,16,1,2095,8,0.4,PROD-2024043921
444,502,7,1,1395,4,0.3,PROD-2024059883
445,172,13,3,100,0,0.65,PROD-2023063694
446,546,10,3,350,3,1.06,PROD-2024064425
447,697,10,3,350,1,0.5,PROD-2024112894
448,71,16,2,600,3,0.64,PROD-2023037633
449,115,5,2,800,9,1.2,PROD-2023048161
450,345,10,1,180,1,0.83,PROD-2023121585
451,287,13,1,146,1,0.78,PROD-2023103008
452,253,2,3,812,2,0.32,PROD-2023095393
453,240,11,2,60,0,0.4,PROD-2023084526
454,374,7,3,300,3,1.15,PROD-2024019326
455,315,3,3,1257,5,0.45,PROD-2023113103
456,564,1,2,2151,17,0.82,PROD-2024077371
457,11,10,1,176,0,0.49,PROD-2023016695
458,58,5,3,800,5,0.7,PROD-2023021309
459,455,1,3,1099,7,0.67,PROD-2024036545
460,27,3,2,800,9,1.14,PROD-2023014473
461,687,16,1,1794,17,0.95,PROD-2024113225
462,394,6,1,1830,15,0.85,PROD-2024019806
463,622,11,2,91,0,0.56,PROD-2024096237
464,425,3,1,800,2,0.36,PROD-2024029874
465,634,3,1,800,4,0.54,PROD-2024095887
466,341,1,1,2753,12,0.47,PROD-2023124699
467,547,11,1,308,2,0.93,PROD-2024066294
468,348,6,2,800,5,0.64,PROD-2023128353
469,249,1,1,800,8,1.06,PROD-2023091622
470,314,9,1,548,2,0.53,PROD-2023117580
471,626,16,1,672,6,0.98,PROD-2024098969
472,39,16,1,600,4,0.76,PROD-2023022294
473,335,3,3,800,2,0.31,PROD-2023127358
474,480,13,1,235,1,0.65,PROD-2024046137
475,243,4,2,1667,18,1.12,PROD-2023081004
476,230,2,2,800,3,0.47,PROD-2023089281
477,429,8,2,769,4,0.56,PROD-2024036888
478,551,5,2,1656,17,1.03,PROD-2024072391
479,631,13,3,107,0,0.35,PROD-2024093124
480,424,8,1,300,3,1.19,PROD-2024026131
481,157,8,3,641,2,0.38,PROD-2023064890
482,537,8,1,300,1,0.49,PROD-2024064247
483,621,10,3,60,0,0.27,PROD-2024095290
484,692,12,3,350,3,1.14,PROD-2024119218
485,131,1,3,943,11,1.19,PROD-2023052547
486,453,16,3,2446,6,0.28,PROD-2024038780
487,23,12,2,350,2,0.72,PROD-2023014570
488,344,10,2,350,2,0.84,PROD-2023127259
489,57,12,2,180,0,0.33,PROD-2023021469
490,28,10,2,342,3,0.96,PROD-2023013509
491,716,16,2,3586,25,0.71,PROD-2024124942
492,539,13,1,92,0,0.99,PROD-2024066729
493,258,13,3,250,2,0.89,PROD-2023098536
494,542,2,2,800,9,1.19,PROD-2024065024
495,311,1,2,2683,21,0.8,PROD-2023111642
496,668,15,3,5106,52,1.03,PROD-2024105755
497,470,14,3,224,0,0.4,PROD-2024042399
498,212,7,3,1505,16,1.1,PROD-2023078219
499,403,15,3,3132,35,1.13,PROD-2024028249
500,578,6,3,2211,9,0.45,PROD-2024079137
501,112,11,3,350,2,0.81,PROD-2023044078
502,256,7,1,1145,7,0.68,PROD-2023092457
503,357,10,2,350,0,0.24,PROD-2023129045
504,658,3,2,3685,10,0.28,PROD-2024104701
505,194,10,2,67,0,0.21,PROD-2023079051
506,362,5,1,800,5,0.67,PROD-2023126232
507,572,9,2,817,3,0.42,PROD-2024078761
508,241,16,3,823,5,0.68,PROD-2023089658
509,9,11,1,147,0,0.22,PROD-2023011251
510,493,9,1,300,0,0.21,PROD-2024053760
511,710,14,3,189,1,1.02,PROD-2024121301
512,455,16,2,2585,5,0.23,PROD-2024035050
513,533,6,3,1274,3,0.26,PROD-2024062278
514,692,6,3,913,8,0.96,PROD-2024113412
515,164,5,2,839,6,0.83,PROD-2023067889
516,264,11,2,350,0,0.23,PROD-2023096083
517,235,4,2,800,8,1.08,PROD-2023087116
518,276,2,3,2411,22,0.93,PROD-2023104212
519,473,10,1,350,3,1.14,PROD-2024048260
520,69,3,2,800,1,0.2,PROD-2023032708
521,13,8,2,407,3,0.93,PROD-2023012944
522,28,16,3,1804,15,0.86,PROD-2023011244
523,429,7,3,874,3,0.38,PROD-2024039555
524,266,12,1,350,1,0.54,PROD-2023097915
525,11,13,1,250,1,0.71,PROD-2023017202
526,529,16,3,1976,5,0.29,PROD-2024067605
527,661,1,2,1586,12,0.76,PROD-2024107308
528,367,9,3,955,9,1.04,PROD-2024013585
529,557,15,3,2836,17,0.63,PROD-2024078422
530,257,15,3,691,7,1.03,PROD-2023097952
531,123,8,3,670,3,0.52,PROD-2023055856
532,622,14,3,250,1,0.54,PROD-2024098371
533,10,7,2,657,3,0.49,PROD-2023018601
534,216,9,2,391,1,0.37,PROD-2023089306
535,482,16,1,771,4,0.64,PROD-2024041556
536,281,7,3,1205,8,0.7,PROD-2023104148
537,563,13,3,191,1,0.97,PROD-2024074850
538,71,16,1,600,2,0.44,PROD-2023035628
539,627,13,3,64,0,0.85,PROD-2024093878
540,352,10,2,174,1,0.68,PROD-2023126535
541,274,5,2,800,3,0.41,PROD-2023109923
542,173,2,2,800,4,0.57,PROD-2023066888
543,683,10,1,111,0,0.63,PROD-2024114442
544,203,1,1,800,3,0.38,PROD-2023076443
545,693,14,3,250,2,0.86,PROD-2024113743
546,266,2,3,832,8,1.08,PROD-2023093693
547,724,11,3,166,1,1.14,PROD-2024126677
548,389,11,2,299,3,1.06,PROD-2024019190
549,544,8,2,342,1,0.38,PROD-2024069389
550,20,8,3,300,2,0.67,PROD-2023011522
