procurement_id,order_date_key,product_id,supplier_id,order_quantity,unit_cost,total_cost,lead_time_days,delivery_date_key,quality_score,po_number
161,687,7,7,50,690.53,34526.5,5,692,95.8,PO-2024-517560
162,697,1,6,50,593.4,29670.0,10,707,97.5,PO-2024-749126
163,195,3,3,50,442.32,22116.0,12,207,96.7,PO-2023-559393
164,1,4,4,50,350.51,17525.5,13,14,96.5,PO-2023-700352
165,318,3,4,105,473.16,49681.8,15,333,99.3,PO-2023-882458
166,512,9,2,50,122.89,6144.5,9,521,97.9,PO-2024-355296
167,254,8,7,56,455.63,25515.28,7,261,96.1,PO-2023-748889
168,370,5,2,50,1049.61,52480.5,12,382,95.0,PO-2024-676276
169,612,5,1,50,927.67,46383.5,16,628,97.3,PO-2024-939654
170,503,12,4,50,326.73,16336.5,17,520,99.3,PO-2024-622209
171,196,13,1,50,1566.64,78332.0,10,206,98.0,PO-2023-401473
172,655,10,1,50,1710.28,85514.0,17,672,95.5,PO-2024-508430
173,529,5,3,53,977.47,51805.91,10,539,99.4,PO-2024-891933
174,712,5,7,101,920.25,92945.25,5,717,95.9,PO-2024-390091
175,267,7,4,50,697.83,34891.5,12,279,99.2,PO-2023-849279
176,20,11,4,50,1091.42,54571.0,18,38,99.3,PO-2023-759256
177,392,1,4,50,636.81,31840.5,16,408,99.3,PO-2024-816430
178,76,15,2,63,223.81,14100.03,7,83,95.9,PO-2023-590186
179,627,2,5,58,626.06,36311.48,12,639,96.5,PO-2024-961337
180,425,5,2,50,968.32,48416.0,9,434,96.8,PO-2024-655501
181,220,14,5,50,656.82,32841.0,13,233,94.6,PO-2023-219099
182,478,16,2,50,127.44,6372.0,7,485,96.1,PO-2024-761208
183,170,13,7,50,1669.1,83455.0,14,184,95.1,PO-2023-443694
184,565,6,4,50,505.62,25281.0,15,580,97.9,PO-2024-100249
185,362,16,5,142,116.35,16521.7,7,369,95.0,PO-2023-635320
186,519,8,2,50,483.59,24179.5,14,533,95.5,PO-2024-430022
187,320,13,2,50,1513.44,75672.0,9,329,98.6,PO-2023-478251
188,568,5,1,83,948.14,78695.62,7,575,96.0,PO-2024-445480
189,247,13,2,50,1420.18,71009.0,14,261,97.0,PO-2023-597007
190,370,5,6,50,1029.77,51488.5,5,375,96.7,PO-2024-228015
191,297,7,2,50,686.85,34342.5,18,315,95.3,PO-2023-656372
192,121,16,6,144,117.03,16852.32,10,131,96.8,PO-2023-961633
193,44,2,3,50,548.77,27438.5,18,62,99.8,PO-2023-103398
194,669,13,4,50,1691.87,84593.5,11,680,98.8,PO-2024-491833
195,308,2,1,50,619.13,30956.5,10,318,96.4,PO-2023-909172
196,151,3,2,50,449.23,22461.5,9,160,97.9,PO-2023-501262
197,590,1,5,76,708.84,53871.84,11,601,95.3,PO-2024-635747
198,83,13,4,50,1459.58,72979.0,16,99,99.6,PO-2023-807144
199,119,5,3,50,914.65,45732.5,7,126,97.6,PO-2023-153722
200,346,2,3,101,597.84,60381.84,7,353,97.9,PO-2023-255935
201,560,9,3,50,119.67,5983.5,10,570,98.0,PO-2024-739362
202,195,1,7,50,596.68,29834.0,10,205,95.0,PO-2023-953647
203,256,16,1,69,126.22,8709.18,13,269,97.8,PO-2023-298907
204,713,7,4,50,734.75,36737.5,12,725,98.6,PO-2024-304429
205,241,15,1,50,236.33,11816.5,12,253,98.3,PO-2023-725140
206,410,9,7,50,122.09,6104.5,13,423,95.9,PO-2024-486043
207,516,9,1,50,113.58,5679.0,8,524,99.2,PO-2024-500004
208,576,15,6,50,225.13,11256.5,6,582,95.9,PO-2024-747358
209,190,2,5,50,656.55,32827.5,10,200,94.5,PO-2023-806518
210,336,5,7,50,913.61,45680.5,9,345,93.5,PO-2023-964751
211,383,6,2,54,478.31,25828.74,15,398,96.9,PO-2024-895765
212,308,16,2,50,118.41,5920.5,7,315,97.9,PO-2023-440153
213,515,11,1,50,1131.79,56589.5,9,524,97.5,PO-2024-371062
214,651,7,1,50,643.61,32180.5,15,666,99.2,PO-2024-497970
215,453,10,4,50,1544.6,77230.0,14,467,98.5,PO-2024-507579
216,449,13,1,50,1543.57,77178.5,14,463,98.4,PO-2024-735410
217,628,15,4,50,204.79,10239.5,15,643,96.0,PO-2024-315124
218,50,14,4,50,556.58,27829.0,15,65,99.0,PO-2023-254385
219,283,9,2,50,119.83,5991.5,16,299,96.6,PO-2023-197903
220,180,10,5,50,1581.11,79055.5,9,189,94.7,PO-2023-624272
221,598,5,1,50,967.68,48384.0,8,606,97.6,PO-2024-515418
222,198,3,2,50,437.03,21851.5,17,215,97.3,PO-2023-934743
223,187,13,6,50,1527.46,76373.0,8,195,95.4,PO-2023-653020
224,464,10,6,50,1603.03,80151.5,6,470,97.3,PO-2024-670889
225,446,8,5,50,410.79,20539.5,13,459,96.9,PO-2024-628690
226,724,9,6,74,101.56,7515.44,7,731,95.7,PO-2024-149230
227,565,5,3,50,906.54,45327.0,9,574,98.3,PO-2024-379193
228,420,13,4,50,1693.12,84656.0,13,433,98.1,PO-2024-178725
229,473,11,6,50,1001.83,50091.5,9,482,94.2,PO-2024-740833
230,215,12,5,50,337.57,16878.5,14,229,93.5,PO-2023-229301
231,721,12,1,50,308.28,15414.0,11,731,97.7,PO-2024-104597
232,191,16,5,116,125.18,14520.88,18,209,94.5,PO-2023-656487
233,714,2,4,71,551.6,39163.6,11,725,99.5,PO-2024-659922
234,677,7,2,50,658.32,32916.0,12,689,97.0,PO-2024-825667
235,196,13,4,50,1598.36,79918.0,13,209,96.1,PO-2023-204814
236,585,5,2,50,1074.35,53717.5,18,603,94.9,PO-2024-837392
237,402,5,4,50,957.26,47863.0,7,409,97.2,PO-2024-771055
238,720,5,5,50,969.66,48483.0,17,731,94.7,PO-2024-771450
239,631,8,1,50,477.99,23899.5,7,638,98.9,PO-2024-321928
240,309,11,4,50,1178.58,58929.0,17,326,99.0,PO-2023-840335
241,731,16,7,81,107.23,8685.63,11,731,95.8,PO-2024-651429
242,493,3,5,50,412.39,20619.5,8,501,94.8,PO-2024-435579
243,412,7,4,50,688.83,34441.5,10,422,98.4,PO-2024-560963
244,34,8,2,50,436.3,21815.0,9,43,98.7,PO-2023-225243
245,373,16,7,66,112.81,7445.46,7,380,94.0,PO-2024-723064
246,420,9,5,50,116.78,5839.0,10,430,94.3,PO-2024-216613
247,144,15,4,50,202.82,10141.0,10,154,98.8,PO-2023-140915
248,188,16,3,67,119.53,8008.51,13,201,97.9,PO-2023-133581
249,350,2,5,77,547.76,42177.52,14,364,95.6,PO-2023-849713
250,553,5,4,50,876.33,43816.5,8,561,97.2,PO-2024-570832
251,703,4,3,50,346.88,17344.0,8,711,98.5,PO-2024-831875
252,341,12,4,50,294.68,14734.0,13,354,97.3,PO-2023-231297
253,163,13,3,50,1607.88,80394.0,11,174,96.8,PO-2023-450329
254,713,13,5,50,1523.55,76177.5,9,722,95.9,PO-2024-700366
255,728,5,5,50,966.98,48349.0,9,731,97.4,PO-2024-540426
256,260,9,4,50,101.1,5055.0,17,277,96.0,PO-2023-429707
257,315,8,7,54,431.01,23274.54,7,322,94.7,PO-2023-344720
258,520,3,5,50,434.72,21736.0,10,530,97.5,PO-2024-746078
259,644,14,2,50,654.99,32749.5,17,661,97.8,PO-2024-650226
260,657,16,4,76,113.29,8610.04,11,668,97.6,PO-2024-625329
261,620,9,6,50,113.1,5655.0,11,631,97.7,PO-2024-163329
262,161,4,2,50,345.9,17295.0,11,172,97.4,PO-2023-154322
263,707,8,5,55,428.47,23565.85,17,724,97.2,PO-2024-840329
264,335,14,3,50,622.71,31135.5,13,348,96.8,PO-2023-343075
265,453,6,6,113,522.98,59096.74,5,458,94.0,PO-2024-180896
266,385,2,2,69,597.98,41260.62,11,396,98.2,PO-2024-767625
267,116,5,7,50,1034.75,51737.5,6,122,94.0,PO-2023-921232
268,397,12,1,50,328.94,16447.0,7,404,95.7,PO-2024-211547
269,280,10,4,50,1662.75,83137.5,16,296,99.4,PO-2023-423911
270,40,1,3,54,711.28,38409.12,10,50,96.3,PO-2023-200753
271,684,5,4,50,1048.84,52442.0,13,697,96.4,PO-2024-870905
272,175,1,7,50,625.24,31262.0,7,182,96.1,PO-2023-104454
273,271,4,6,52,378.86,19700.72,7,278,95.2,PO-2023-807560
274,405,10,5,50,1694.74,84737.0,14,419,96.2,PO-2024-964582
275,372,5,2,50,1029.58,51479.0,10,382,95.4,PO-2024-531663
276,59,7,4,50,707.89,35394.5,13,72,98.2,PO-2023-211136
277,432,13,1,50,1413.26,70663.0,15,447,98.2,PO-2024-523641
278,399,6,7,107,545.77,58397.39,12,411,93.3,PO-2024-801440
279,627,10,3,50,1441.48,72074.0,7,634,99.8,PO-2024-526923
280,125,13,3,50,1709.15,85457.5,13,138,99.7,PO-2023-369730
281,511,1,2,50,662.66,33133.0,11,522,97.9,PO-2024-534002
282,135,1,3,50,643.19,32159.5,17,152,99.7,PO-2023-163829
283,588,15,7,50,204.33,10216.5,12,600,96.5,PO-2024-804549
284,668,4,7,65,324.5,21092.5,11,679,93.0,PO-2024-633039
285,176,6,3,101,547.1,55257.1,10,186,98.9,PO-2023-676123
286,587,8,5,50,441.94,22097.0,16,603,96.1,PO-2024-688188
287,610,13,4,50,1575.64,78782.0,18,628,96.6,PO-2024-372975
288,287,13,6,50,1505.01,75250.5,10,297,94.5,PO-2023-927707
289,536,10,5,50,1664.68,83234.0,9,545,96.6,PO-2024-152149
290,568,10,7,50,1522.74,76137.0,9,577,95.8,PO-2024-121464
291,212,5,6,50,1068.38,53419.0,7,219,96.2,PO-2023-619053
292,333,5,4,50,933.05,46652.5,11,344,96.8,PO-2023-913386
293,148,13,6,50,1585.09,79254.5,9,157,95.2,PO-2023-578726
294,303,8,5,50,496.33,24816.5,14,317,96.3,PO-2023-866992
295,157,8,3,50,414.58,20729.0,14,171,99.8,PO-2023-235768
296,400,14,3,50,646.14,32307.0,18,418,97.2,PO-2024-750490
297,676,6,4,54,546.12,29490.48,18,694,99.1,PO-2024-321343
298,717,16,6,80,107.13,8570.4,5,722,95.4,PO-2024-758315
299,652,2,7,90,555.38,49984.2,5,657,95.3,PO-2024-563777
300,212,15,5,50,240.08,12004.0,16,228,95.5,PO-2023-707062
301,217,11,5,50,1056.79,52839.5,11,228,94.0,PO-2023-234927
302,421,7,5,57,649.86,37042.02,12,433,97.3,PO-2024-592656
303,296,2,7,50,661.88,33094.0,7,303,94.0,PO-2023-720903
304,178,7,1,50,689.75,34487.5,14,192,97.8,PO-2023-695461
305,194,7,1,50,718.21,35910.5,15,209,98.5,PO-2023-339698
306,88,7,3,50,649.21,32460.5,13,101,97.5,PO-2023-222658
307,414,11,6,50,1144.55,57227.5,9,423,94.6,PO-2024-378122
308,667,8,3,67,491.63,32939.21,18,685,96.3,PO-2024-909681
309,146,5,1,50,1005.1,50255.0,8,154,99.3,PO-2023-350966
310,570,12,5,50,315.71,15785.5,10,580,94.8,PO-2024-571649
311,164,5,5,52,1005.81,52302.12,11,175,96.9,PO-2023-749464
312,419,14,1,50,575.77,28788.5,18,437,98.4,PO-2024-229511
313,534,8,2,50,416.42,20821.0,8,542,98.0,PO-2024-291352
314,327,9,4,50,103.61,5180.5,17,344,97.9,PO-2023-434848
315,31,16,3,50,116.62,5831.0,15,46,98.1,PO-2023-327970
316,214,12,7,50,336.19,16809.5,5,219,94.9,PO-2023-487891
317,675,8,7,50,411.87,20593.5,10,685,96.7,PO-2024-856582
318,148,13,1,50,1694.32,84716.0,13,161,98.2,PO-2023-294513
319,41,3,4,148,469.89,69543.72,18,59,98.5,PO-2023-900046
320,221,4,2,50,343.09,17154.5,9,230,94.8,PO-2023-906349
321,122,13,4,50,1411.16,70558.0,18,140,97.9,PO-2023-604641
322,203,16,5,134,123.75,16582.5,17,220,94.5,PO-2023-733618
323,453,12,5,50,316.67,15833.5,9,462,96.3,PO-2024-783427
324,62,10,2,50,1594.28,79714.0,10,72,96.4,PO-2023-944668
325,322,12,1,50,293.66,14683.0,11,333,96.6,PO-2023-811839
326,165,15,7,50,226.06,11303.0,13,178,96.6,PO-2023-574348
327,332,2,6,111,565.35,62753.85,7,339,95.4,PO-2023-253938
328,131,9,6,65,102.42,6657.3,10,141,94.2,PO-2023-732582
329,241,12,6,50,285.14,14257.0,9,250,95.6,PO-2023-939864
330,373,4,5,50,391.54,19577.0,8,381,94.9,PO-2024-447595
331,659,14,6,50,671.07,33553.5,6,665,97.7,PO-2024-567634
332,644,11,5,50,1022.81,51140.5,17,661,94.4,PO-2024-413271
333,68,15,7,50,236.13,11806.5,6,74,95.4,PO-2023-543569
334,644,2,6,74,604.56,44737.44,10,654,96.3,PO-2024-249419
335,648,2,1,66,647.02,42703.32,7,655,96.2,PO-2024-654008
336,278,4,4,50,363.39,18169.5,16,294,97.3,PO-2023-956067
337,353,11,7,50,1176.99,58849.5,12,365,93.1,PO-2023-105241
338,528,7,3,50,617.95,30897.5,12,540,97.1,PO-2024-783510
339,598,7,1,50,709.47,35473.5,10,608,95.9,PO-2024-834188
340,343,7,1,50,630.5,31525.0,14,357,98.8,PO-2023-501684
341,588,5,5,50,1020.8,51040.0,14,602,96.0,PO-2024-968276
342,479,9,6,50,120.21,6010.5,12,491,94.9,PO-2024-983471
343,713,7,7,50,626.55,31327.5,11,724,96.5,PO-2024-809177
344,460,16,5,50,109.34,5467.0,8,468,96.5,PO-2024-464813
345,556,9,2,50,117.64,5882.0,10,566,97.0,PO-2024-240506
346,524,16,7,50,115.38,5769.0,12,536,95.3,PO-2024-868504
347,193,3,1,50,444.84,22242.0,11,204,98.1,PO-2023-380657
348,25,1,7,52,600.52,31227.04,14,39,94.4,PO-2023-383289
349,493,10,3,50,1579.15,78957.5,17,510,97.7,PO-2024-763743
350,419,15,3,113,220.6,24927.8,7,426,99.9,PO-2024-851383
351,503,1,7,50,651.57,32578.5,6,509,96.3,PO-2024-572348
352,114,4,7,109,367.43,40049.87,11,125,95.0,PO-2023-105808
353,365,1,6,62,628.26,38952.12,6,371,97.4,PO-2023-263635
354,242,4,3,51,385.22,19646.22,7,249,99.8,PO-2023-194001
355,380,3,6,50,427.17,21358.5,5,385,95.7,PO-2024-707180
356,423,4,1,50,379.4,18970.0,12,435,97.2,PO-2024-180920
357,221,4,5,50,348.07,17403.5,14,235,96.2,PO-2023-934876
358,516,7,1,63,700.37,44123.31,7,523,98.4,PO-2024-345986
359,588,16,3,50,123.21,6160.5,7,595,100.0,PO-2024-511263
360,416,13,6,50,1540.19,77009.5,9,425,95.6,PO-2024-539618
361,85,1,7,50,688.91,34445.5,11,96,94.4,PO-2023-580228
362,467,11,2,50,1103.59,55179.5,14,481,96.7,PO-2024-415475
363,17,7,1,50,647.38,32369.0,13,30,97.6,PO-2023-744148
364,711,13,1,50,1652.21,82610.5,9,720,96.5,PO-2024-157163
365,446,6,5,50,548.57,27428.5,13,459,96.5,PO-2024-294845
366,486,2,1,50,607.13,30356.5,7,493,99.0,PO-2024-978556
367,1,2,1,50,665.79,33289.5,12,13,96.4,PO-2023-978132
368,144,11,4,50,1159.07,57953.5,7,151,97.2,PO-2023-913725
369,471,1,7,50,658.32,32916.0,5,476,96.7,PO-2024-843798
370,374,5,5,50,1053.21,52660.5,13,387,94.1,PO-2024-312224
371,157,3,1,59,458.42,27046.78,13,170,95.9,PO-2023-158895
372,315,15,4,50,233.67,11683.5,13,328,97.5,PO-2023-516607
373,192,7,5,50,660.67,33033.5,14,206,93.7,PO-2023-704168
374,449,8,1,50,420.8,21040.0,17,466,98.9,PO-2024-770863
375,645,4,7,50,351.06,17553.0,11,656,95.6,PO-2024-208956
376,100,9,5,50,106.68,5334.0,14,114,93.6,PO-2023-752138
377,566,16,4,50,117.91,5895.5,11,577,98.4,PO-2024-967588
378,85,13,1,50,1442.37,72118.5,15,100,96.4,PO-2023-638040
379,284,8,6,67,460.62,30861.54,9,293,96.6,PO-2023-574290
380,687,7,7,50,671.06,33553.0,13,700,93.5,PO-2024-915460
381,599,15,2,50,223.71,11185.5,15,614,97.8,PO-2024-664020
382,462,6,6,65,473.57,30782.05,9,471,97.5,PO-2024-296499
